anno,img,label
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/84-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/84-2.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/28-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/28-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/41-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/41-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/36-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/36-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/24-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/24-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/2-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/2-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/27-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/27-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/77-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/77-1.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/99-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/99-1.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/96-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/96-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/9-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/9-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/66-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/66-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/11-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/11-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/50-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/50-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/16-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/16-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/98-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/98-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/17-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/17-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/18-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/18-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/51-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/51-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/46-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/46-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/49-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/49-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/86-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/55-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/55-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/78-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/78-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/53-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/53-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/8-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/8-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/68-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/68-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/80-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/80-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/10-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/10-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/15-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/15-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/32-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/32-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/63-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/63-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/12-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/1-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/83-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/83-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/89-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/89-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/33-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/33-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/66-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/66-1.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/7-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/7-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/42-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/42-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/19-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/19-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/56-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/56-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/4-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/21-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/21-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/39-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/75-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/75-1.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/88-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/88-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/74-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/74-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/70-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/70-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/77-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/77-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/31-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/31-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/38-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/38-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/69-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/69-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/97-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/97-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/4-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/4-1.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/30-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/60-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/60-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/20-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/20-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/48-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/48-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/28-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/28-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/36-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/36-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/27-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/27-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/85-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/85-1.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/64-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/64-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/91-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/91-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/37-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/37-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/9-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/9-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/3-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/3-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/74-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/74-1.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/11-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/11-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/82-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/82-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/16-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/16-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/17-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/17-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/18-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/18-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/51-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/51-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/26-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/26-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/46-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/46-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/86-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/55-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/55-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/22-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/22-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/51-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/51-1.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/58-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/58-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/1-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/1-2.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/90-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/90-2.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/10-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/10-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/12-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/72-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/72-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/62-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/62-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/43-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/43-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/84-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/84-1.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/83-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/83-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/65-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/65-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/uttanasana/89-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/uttanasana/89-0.png,uttanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/21. mountain-pose-yoga-_15.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/21. mountain-pose-yoga-_15.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/85. tittle-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/85. tittle-2.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/1. mountain-pose-567x567.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/1. mountain-pose-567x567.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/56. sarah-herrington-essential-yoga-mountain-pose.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/56. sarah-herrington-essential-yoga-mountain-pose.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/58. 408816_thumb.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/58. 408816_thumb.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/8. mountain-pose.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/8. mountain-pose.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/34. pose-focus-series-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/34. pose-focus-series-2.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/31. tadasana.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/31. tadasana.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/15. tadasana-mountain-pose.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/15. tadasana-mountain-pose.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/86. b84ea1c722dd4d0364af0c5c66d2fea8.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/86. b84ea1c722dd4d0364af0c5c66d2fea8.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/22. tadasana-530x430.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/22. tadasana-530x430.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/70. 9ea6e0dbd2c9eb26ccad8ad028a2436e.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/70. 9ea6e0dbd2c9eb26ccad8ad028a2436e.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/40. tadasana-mountain-pose-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/40. tadasana-mountain-pose-1.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/46. cc1cd99b15ffe3279e6df98cb71eafd7.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/46. cc1cd99b15ffe3279e6df98cb71eafd7.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/94. jessy25253amountain520pose.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/94. jessy25253amountain520pose.png,tadasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/tadasana/86. mountain-pose-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/tadasana/86. mountain-pose-1.png,tadasana
