,anno,img,label
193,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/51-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/51-0.png,upavistha konasana
194,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/46-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/46-0.png,upavistha konasana
195,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/49-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/49-0.png,upavistha konasana
196,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/86-0.png,upavistha konasana
197,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/22-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/22-0.png,upavistha konasana
198,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/53-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/53-0.png,upavistha konasana
199,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/58-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/58-0.png,upavistha konasana
200,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/80-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/80-0.png,upavistha konasana
201,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/59-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/59-0.png,upavistha konasana
202,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/10-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/10-0.png,upavistha konasana
203,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/25-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/25-1.png,upavistha konasana
204,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/12-0.png,upavistha konasana
205,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/43-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/43-0.png,upavistha konasana
206,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/1-0.png,upavistha konasana
207,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/89-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/89-0.png,upavistha konasana
208,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/33-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/33-0.png,garudasana
209,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/40-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/40-0.png,garudasana
210,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/54-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/54-0.png,garudasana
211,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/19-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/19-0.png,garudasana
212,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/13-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/13-0.png,garudasana
213,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/29-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/29-0.png,garudasana
214,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/68-4.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/68-4.png,garudasana
215,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/25-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/25-0.png,garudasana
216,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/4-0.png,garudasana
217,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/39-0.png,garudasana
218,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/35-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/35-0.png,garudasana
219,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/97-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/97-2.png,garudasana
220,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/81-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/81-0.png,garudasana
221,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/73-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/73-0.png,garudasana
222,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/38-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/38-0.png,garudasana
223,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/97-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/97-1.png,garudasana
224,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/97-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/97-0.png,garudasana
225,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/92-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/92-0.png,garudasana
226,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/6-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/6-0.png,garudasana
227,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/30-0.png,garudasana
228,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/87-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/87-0.png,garudasana
229,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/60-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/60-0.png,garudasana
230,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/90-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/90-0.png,garudasana
231,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/20-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/20-0.png,garudasana
232,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/48-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/48-0.png,garudasana
233,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/28-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/28-0.png,garudasana
234,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/23-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/23-0.png,garudasana
235,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/36-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/36-0.png,garudasana
236,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/68-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/68-2.png,garudasana
237,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/24-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/24-0.png,garudasana
238,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/2-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/2-0.png,garudasana
239,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/27-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/27-0.png,garudasana
240,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/64-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/64-0.png,garudasana
241,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/35-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/35-1.png,garudasana
242,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/84-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/84-0.png,garudasana
243,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/96-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/96-0.png,garudasana
244,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/67-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/67-0.png,garudasana
245,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/66-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/66-0.png,garudasana
246,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/62-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/62-1.png,garudasana
247,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/82-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/82-0.png,garudasana
248,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/90-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/90-1.png,garudasana
249,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/23-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/23-1.png,garudasana
250,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/99-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/99-0.png,garudasana
251,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/16-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/16-0.png,garudasana
252,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/98-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/98-0.png,garudasana
253,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/93-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/93-0.png,garudasana
254,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/5-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/5-0.png,garudasana
255,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/51-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/51-0.png,garudasana
256,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/46-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/46-0.png,garudasana
257,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/61-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/61-0.png,garudasana
258,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/53-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/53-1.png,garudasana
259,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/49-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/49-0.png,garudasana
260,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/53-3.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/53-3.png,garudasana
261,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/22-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/22-0.png,garudasana
262,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/53-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/53-0.png,garudasana
263,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/58-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/58-0.png,garudasana
264,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/68-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/68-1.png,garudasana
265,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/68-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/68-0.png,garudasana
266,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/68-3.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/68-3.png,garudasana
267,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/80-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/80-0.png,garudasana
268,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/15-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/15-0.png,garudasana
269,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/53-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/53-2.png,garudasana
270,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/42-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/42-1.png,garudasana
271,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/12-0.png,garudasana
272,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/72-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/72-0.png,garudasana
273,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/62-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/62-0.png,garudasana
274,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/52-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/52-0.png,garudasana
275,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/43-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/43-0.png,garudasana
276,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/0-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/0-0.png,garudasana
277,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/1-0.png,garudasana
278,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/83-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/83-0.png,garudasana
279,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/65-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/65-0.png,garudasana
280,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/89-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/89-0.png,garudasana
281,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/garudasana/89-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/garudasana/89-1.png,garudasana
346,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/47-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/47-0.png,makarasana
347,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/40-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/40-0.png,makarasana
348,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/25-2.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/25-2.png,makarasana
349,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/7-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/7-0.png,makarasana
350,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/42-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/42-0.png,makarasana
351,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/44-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/44-0.png,makarasana
352,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/13-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/13-0.png,makarasana
353,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/56-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/56-0.png,makarasana
354,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/4-0.png,makarasana
355,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/39-0.png,makarasana
356,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/88-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/88-0.png,makarasana
357,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/38-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/38-0.png,makarasana
358,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/69-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/69-0.png,makarasana
359,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/6-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/6-0.png,makarasana
360,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/30-0.png,makarasana
361,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/60-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/60-0.png,makarasana
362,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/makarasana/45-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/makarasana/45-0.png,makarasana
