keys_0_anno,keys_1_anno,keys_2_anno,score_0,score_1,score_2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/98-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/8-0.txt,2,1,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/88-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/92-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/30-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/46-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/26-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/93-0.txt,2,1,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/31-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/43-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/17-1.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/29-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/29-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/79-1.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/9-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/48-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/85-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/61-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/36-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/39-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/41-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/17-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/79-1.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/42-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/2-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/43-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/22-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/73-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/46-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/72-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/1-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/41-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/22-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/84-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/22-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/19-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/88-0.txt,2,1,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/9-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/48-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/39-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/51-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/98-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/49-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/17-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/79-1.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/0-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/19-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/95-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/93-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/17-1.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/76-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/98-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/92-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/10-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/42-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/86-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/72-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/43-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/18-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/29-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/8-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/79-1.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/48-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/85-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/95-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/76-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/43-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/64-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/10-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/30-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/76-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/18-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/56-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/49-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/72-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/62-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/65-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/88-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/87-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/2-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/98-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/92-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/41-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/64-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/49-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/61-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/95-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/39-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/97-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/6-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/92-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/36-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/65-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/19-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/34-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/0-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/88-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/56-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/72-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/43-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/29-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/6-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/51-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/43-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/72-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/42-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/2-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/62-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/22-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/46-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/41-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/35-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/79-1.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/2-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/98-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/56-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/84-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/30-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/61-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/14-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/46-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/93-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/17-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/72-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/76-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/18-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/95-1.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/75-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/16-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/14-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/83-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/59-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/1-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/7-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/35-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/37-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/65-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/45-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/23-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/30-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/27-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/34-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/29-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/12-0.txt,2,1,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/61-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/2-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/62-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/22-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/64-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/93-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/31-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/66-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/11-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/95-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/46-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/99-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/8-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/19-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/38-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/96-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/25-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/52-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/15-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/10-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/4-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/54-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/13-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/20-0.txt,2,1,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/77-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/73-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/42-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/98-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/6-5.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/5-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/43-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/80-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/45-1.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/44-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/47-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/68-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/25-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/13-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/16-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/29-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/68-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/8-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/77-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/86-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/27-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/47-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/50-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/42-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/47-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/10-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/3-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/6-5.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/11-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/99-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/52-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/13-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/80-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/44-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/14-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/38-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/20-0.txt,2,1,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/95-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/38-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/10-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/3-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/83-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/61-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/31-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/76-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/83-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/22-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/52-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/50-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/7-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/61-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/15-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/35-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/30-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/64-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/30-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/3-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/natarajasana/73-0.txt,0,2,1
